anio,mes,departamento,municipio,indicador,atractivo,categoria,colegio,prestador,registro_nacional_de_turismo,direccion,pais_origen,valor
2018,1,HUILA,ACEVEDO,Visitantes extranjeros no residentes,,,,,,,,2
2018,1,HUILA,AGRADO,Visitantes extranjeros no residentes,,,,,,,,1
2018,1,HUILA,ALTAMIRA,Visitantes extranjeros no residentes,,,,,,,,2
2018,1,HUILA,GIGANTE,Visitantes extranjeros no residentes,,,,,,,,3
2018,1,HUILA,LA PLATA,Visitantes extranjeros no residentes,,,,,,,,1
2018,1,HUILA,NEIVA,Llegadas internacionales,,,,,,,,304
2018,1,HUILA,NEIVA,Salidas internacionales,,,,,,,,303
2018,1,HUILA,NEIVA,Visitantes extranjeros no residentes,,,,,,,,207
2018,1,HUILA,NEIVA,llegadas pasajeros Nacionales,,,,,,,,9021
2018,1,HUILA,PITALITO,Visitantes extranjeros no residentes,,,,,,,,33
2018,1,HUILA,PITALITO,llegadas pasajeros Nacionales,,,,,,,,761
2018,1,HUILA,RIVERA,Visitantes extranjeros no residentes,,,,,,,,1
2018,1,HUILA,VILLAVIEJA,Visitantes extranjeros no residentes,,,,,,,,3
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Alemania,16.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Argentina,22.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Australia,6.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Austria,5.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Bolivia,2.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Brasil,15.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Canadá,7.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Chile,4.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,China,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Costa Rica,13.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Cuba,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Ecuador,51.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,España,12.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,26.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Francia,13.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Guatemala,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Honduras,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Italia,5.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,México,27.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Panamá,16.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Países Bajos,9.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Perú,27.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Polonia,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Portugal,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Reino Unido,7.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,República Dominicana,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Sudáfrica,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Suecia,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Suiza,2.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Uruguay,1.0
2018,1,HUILA,,Visitantes No Residentes total por departamento,,,,,,,,295.0
2018,1,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,218.0
2018,1,PUTUMAYO,MOCOA,Visitantes extranjeros no residentes,,,,,,,,91
2018,1,PUTUMAYO,PUERTO CAICEDO,Visitantes extranjeros no residentes,,,,,,,,3
2018,1,PUTUMAYO,SAN MIGUEL,Visitantes extranjeros no residentes,,,,,,,,2
2018,1,TOLIMA,ARMERO,Visitantes extranjeros no residentes,,,,,,,,1
2018,1,TOLIMA,CAJAMARCA,Visitantes extranjeros no residentes,,,,,,,,1
2018,1,TOLIMA,CHAPARRAL,Visitantes extranjeros no residentes,,,,,,,,6
2018,1,TOLIMA,CHAPARRAL,llegadas pasajeros Nacionales,,,,,,,,4
2018,1,TOLIMA,ESPINAL,Visitantes extranjeros no residentes,,,,,,,,6
2018,1,TOLIMA,FALAN,Visitantes extranjeros no residentes,,,,,,,,2
2018,1,TOLIMA,FLANDES,Visitantes extranjeros no residentes,,,,,,,,1
