departamento,municipio,rnt,razon_social,direccion
HUILA,GIGANTE,87179,HOTEL VILLA CLAUDIA GIGANTE,VEREDA PUEBLO NUEVO
HUILA,VILLA VIEJA,22396,HOTEL VILLA PARAÍSO,"CALLE 4 #7-69 VILLAVIEJA"
HUILA,SAN AGUSTÍN,4892,HOTEL YALCONIA,"CALLE 5 NO 23-48"
HUILA,NEIVA,6003,"INVERSIONES TUMBURAGUA INN LTDA // HOTEL TUMBURAGUA INN","CARRERA 5 A NO. 5-40"
HUILA,SAN AGUSTÍN,15685,"INVERSIONES TURÍSTICAS DE COLOMBIA LTDA INTURCOL LTDA / SAN AGUSTÍN INTERNACIONAL","CARRERA 19 NO 1 A-13, SAN AGUSTÍN, HUILA- COLOMBIA"
HUILA,NEIVA,26812,"INVERSIONES Y PROYECTOS C3- LA CABRERA HOTEL BOUTIQUE","CL. 15 # 5-61, NEIVA, HUILA"
HUILA,NEIVA,39931,KAHOBA HOTEL,"CARRERA 7 NO 10-99"
HUILA,LA JAGUA,89578,LA CASONA ALOJAMIENTO RURAL,"KM 2 VÍA LA JAGUA"
HUILA,NÁTAGA,81689,LA POSADA DE CHUCHO,"CARRERA 4 NO. 3 - 33"
HUILA,RIVERA,,LOS ANGELES TERMAL LTDA.,"VEREDA AGUA CALIENTE RIVERA, HUILA, COLOMBIA"
HUILA,NÁTAGA,97443,LOS CAMPOS DE MARIA ALOJAMIENTO RURAL,"KM 4 VEREDA LA CASCAJOSA DEL MUNICIPIO DE NATAGA"
HUILA,GIGANTE,33657,"MACEPE- FINCA AGROTURISTICA HACIENDA SANTA ROSA ALOJAMIENTO RURAL","VEREDA BAJO COROZAL"
HUILA,ISNOS,83601,MAYU AVENTURA ANCESTRAL,"VEREDA EL MORTIÑO"
HUILA,ISNOS,25941,MIRADOR DEL MAGDALENA,"VEREDA MORTIÑO"
HUILA,GIGANTE,85923,MONTAÑA A LA MANO DEL GIGANTE,"VEREDA EL RODEO FINCA VILLA MERCEDES"
HUILA,AIPE,61440,PACANDE FINCA CAMPESTRE ALOJAMIENTO RURAL,"KILÓMETRO 3 VÍA AIPE BOGOTÁ"
HUILA,NEIVA,1404,SAN JUAN DE PACANDE,"CALLE 10 NO 4-39"
HUILA,VILLA VIEJA,82010,SUEÑO REAL DE LA TATACOA,"KM1 VÍA DESIERTO URBANIZACION CAMPESTRE VISTA HERMOSA"
HUILA,GARZÓN,,TERMINAL DE TRANSPORTES DE GARZON S.A,"TRANSVERSAL 21 # 3B - 49"
HUILA,NEIVA,,TERMINAL DE TRANSPORTES DE NEIVA S.A,"CRA. 7 #2S 06"
HUILA,NEIVA,44649,VESTA HOTEL,"CALLE 10 NO 12-09"
HUILA,PITALITO,25292,YORHATHAL SEVILLA,"CALLE 7 # 3-51"
HUILA,SAN AGUSTÍN,21333,YUMA HOTEL SAN AGUSTÍN,"50 METROS VÍA VEREDA LA ESTRELLA"
TOLIMA,IBAGUÉ,,EXPRESO BRASILIA S.A.,"TERMINAL DE TRANSPORTE OFICINA 205 PISO 2 "
TOLIMA,IBAGUÉ,56610,EXPRESO BRASILIA S.A.,TERMINAL DE TRANSPORTE LOCAL 189 ENTRADA NO. 2
TOLIMA,IBAGUÉ,53805,"G.H.L. GRUPO HOTELES S.C.A HOTELES DE TITAMO SOCIEDAD POR ACCIONES SIMPLIFICADA - HOTEL SONESTA IBAGUE","CR 8 N 57-57 CC ACQUA POWER CENTER"
TOLIMA,IBAGUÉ,53805,GHL GRUPO HOTELES S.C.A.,"CENTRO COMERCIAL ACQUA CARRERA 8 NO. 57 - 57 PRADOS DEL NORTE"
TOLIMA,IBAGUÉ,6386,"HOTEL ESTELAR S.A. - HOTEL ESTELAR ALTAMIRA","CARRERA 1A NO. 45 - 50"
TOLIMA,IBAGUÉ,6386,HOTELES ESTELAR - ALTAMIRA,"CARRERA 1 N° 45 - 50"
TOLIMA,IBAGUÉ,6386,"HOTELES ESTELAR S.A. (CORPORATIVO)","CARRERA 1 NO. 45-50"
TOLIMA,IBAGUÉ,6386,"HOTELES ESTELAR S.A. (CORPORATIVO)","CARRERA 1 NO. 45 - 50"
TOLIMA,HONDA,,TERMINAL DE TRANSPORTE DE HONDA S.A,"CALLE 23 ENTRE CRA.14 Y 16 VARIANTE HONDA LA DORADA, HONDA, TOLIMA, COLOMBIA"
TOLIMA,IBAGUÉ,,TERMINAL DE TRANSPORTES DE IBAGUE S.A.,"CARRERA 2 NO. 20-86 IBAGUE, TOLIMA, COLOMBIA"
PUTUMAYO,VILLA GARZÓN,,CONEXIÓN PREVENTIVA COLOMBIA SAS,VEREDA EL PORVENIR VIA AL MANANTIAL
CAQUETÁ,FLORENCIA,56055,KURIARA TRAVEL INTERNATIONAL S.A.S.,CARRERA 11 N 11 - 30
