anio,mes,departamento,municipio,atractivo,total_entr
2017,julio,Tolima,Ibagué,Parque Nacional Natural Nevados,5001.0
2017,agosto,Tolima,Ibagué,Parque Nacional Natural Nevados,4064.0
2017,septiembre,Tolima,Ibagué,Parque Nacional Natural Nevados,2392.0
2017,octubre,Tolima,Ibagué,Parque Nacional Natural Nevados,4144.0
2017,noviembre,Tolima,Ibagué,Parque Nacional Natural Nevados,4287.0
2017,diciembre,Tolima,Ibagué,Parque Nacional Natural Nevados,4178.0
2018,enero,Tolima,Ibagué,Parque Nacional Natural Nevados,10060.0
2018,febrero,Tolima,Ibagué,Parque Nacional Natural Nevados,2271.0
2018,marzo,Tolima,Ibagué,Parque Nacional Natural Nevados,7660.0
2018,abril,Tolima,Ibagué,Parque Nacional Natural Nevados,2031.0
2018,mayo,Tolima,Ibagué,Parque Nacional Natural Nevados,2503.0
2018,junio,Tolima,Ibagué,Parque Nacional Natural Nevados,4481.0
2018,julio,Tolima,Ibagué,Parque Nacional Natural Nevados,6017.0
2018,agosto,Tolima,Ibagué,Parque Nacional Natural Nevados,5012.0
2018,septiembre,Tolima,Ibagué,Parque Nacional Natural Nevados,2971.0
2018,octubre,Tolima,Ibagué,Parque Nacional Natural Nevados,5173.0
2018,noviembre,Tolima,Ibagué,Parque Nacional Natural Nevados,3279.0
2018,diciembre,Tolima,Ibagué,Parque Nacional Natural Nevados,2637.0
2019,enero,Tolima,Ibagué,Parque Nacional Natural Nevados,7699.0
2019,febrero,Tolima,Ibagué,Parque Nacional Natural Nevados,2088.0
2019,marzo,Tolima,Ibagué,Parque Nacional Natural Nevados,2702.0
2019,abril,Tolima,Ibagué,Parque Nacional Natural Nevados,5068.0
2019,mayo,Tolima,Ibagué,Parque Nacional Natural Nevados,1714.0
2019,junio,Tolima,Ibagué,Parque Nacional Natural Nevados,4095.0
2019,julio,Tolima,Ibagué,Parque Nacional Natural Nevados,3780.0
2019,agosto,Tolima,Ibagué,Parque Nacional Natural Nevados,3634.0
2019,septiembre,Tolima,Ibagué,Parque Nacional Natural Nevados,2639.0
2019,octubre,Tolima,Ibagué,Parque Nacional Natural Nevados,3822.0
2019,noviembre,Tolima,Ibagué,Parque Nacional Natural Nevados,3632.0
2019,diciembre,Tolima,Ibagué,Parque Nacional Natural Nevados,4415.0
2020,enero,Tolima,Ibagué,Parque Nacional Natural Nevados,7758.0
2020,febrero,Tolima,Ibagué,Parque Nacional Natural Nevados,531.0
2020,marzo,Tolima,Ibagué,Parque Nacional Natural Nevados,769.0
2020,abril,Tolima,Ibagué,Parque Nacional Natural Nevados,0.0
2020,mayo,Tolima,Ibagué,Parque Nacional Natural Nevados,0.0
2020,junio,Tolima,Ibagué,Parque Nacional Natural Nevados,0.0
2020,julio,Tolima,Ibagué,Parque Nacional Natural Nevados,0.0
2020,agosto,Tolima,Ibagué,Parque Nacional Natural Nevados,0.0
2020,septiembre,Tolima,Ibagué,Parque Nacional Natural Nevados,0.0
2020,octubre,Tolima,Ibagué,Parque Nacional Natural Nevados,1282.0
2020,noviembre,Tolima,Ibagué,Parque Nacional Natural Nevados,2417.0
2020,diciembre,Tolima,Ibagué,Parque Nacional Natural Nevados,3209.0
2021,enero,Tolima,Ibagué,Parque Nacional Natural Nevados,5826.0
2021,febrero,Tolima,Ibagué,Parque Nacional Natural Nevados,3972.0
2021,marzo,Tolima,Ibagué,Parque Nacional Natural Nevados,4689.0
2021,abril,Tolima,Ibagué,Parque Nacional Natural Nevados,3658.0
2021,mayo,Tolima,Ibagué,Parque Nacional Natural Nevados,1030.0
2021,junio,Tolima,Ibagué,Parque Nacional Natural Nevados,4167.0
2021,julio,Tolima,Ibagué,Parque Nacional Natural Nevados,5477.0
2021,agosto,Tolima,Ibagué,Parque Nacional Natural Nevados,5428.0
2021,septiembre,Tolima,Ibagué,Parque Nacional Natural Nevados,3421.0
2021,octubre,Tolima,Ibagué,Parque Nacional Natural Nevados,5643.0
2021,noviembre,Tolima,Ibagué,Parque Nacional Natural Nevados,2823.0
2021,diciembre,Tolima,Ibagué,Parque Nacional Natural Nevados,3335.0
2022,enero,Tolima,Ibagué,Parque Nacional Natural Nevados,6831.0
2022,febrero,Tolima,Ibagué,Parque Nacional Natural Nevados,2753.0
2022,marzo,Tolima,Ibagué,Parque Nacional Natural Nevados,3562.0
2022,abril,Tolima,Ibagué,Parque Nacional Natural Nevados,6448.0
2022,mayo,Tolima,Ibagué,Parque Nacional Natural Nevados,2080.0
2022,junio,Tolima,Ibagué,Parque Nacional Natural Nevados,3583.0
2022,julio,Tolima,Ibagué,Parque Nacional Natural Nevados,6694.0
2022,agosto,Tolima,Ibagué,Parque Nacional Natural Nevados,4406.0
2022,septiembre,Tolima,Ibagué,Parque Nacional Natural Nevados,3043.0
