anio,mes,departamento,municipio,indicador,atractivo,categoria,colegio,prestador,registro_nacional_de_turismo,direccion,pais_origen,valor
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Argentina,12.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Australia,1.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Brasil,9.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Bélgica,1.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Canadá,9.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Chile,5.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,China,1.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Costa Rica,5.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Dinamarca,1.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Ecuador,73.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Egipto,1.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,El Salvador,1.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,España,14.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,44.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Francia,8.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Guatemala,1.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Italia,4.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,México,36.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Noruega,1.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Nueva Zelanda,1.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Panamá,8.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Países Bajos,3.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Perú,17.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Portugal,1.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Reino Unido,4.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,República Checa,1.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,República Dominicana,3.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Suecia,2.0
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Suiza,8.0
2018,3,HUILA,,Visitantes No Residentes total por departamento,,,,,,,,280.0
2018,3,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,161.0
2018,4,HUILA,ACEVEDO,Visitantes a Parques Nacionales Naturales,,,,,,,,113
2018,4,HUILA,ACEVEDO,Visitantes extranjeros no residentes,,,,,,,,3
2018,4,HUILA,AIPE,Visitantes extranjeros no residentes,,,,,,,,1
2018,4,HUILA,CAMPOALEGRE,Visitantes extranjeros no residentes,,,,,,,,1
2018,4,HUILA,GIGANTE,Visitantes extranjeros no residentes,,,,,,,,1
2018,4,HUILA,GUADALUPE,Visitantes extranjeros no residentes,,,,,,,,1
