anio,mes,departamento,municipio,indicador,atractivo,categoria,colegio,prestador,registro_nacional_de_turismo,direccion,pais_origen,valor
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Ucrania,1.0
2018,4,TOLIMA,,Visitantes No Residentes total por departamento,,,,,,,,276.0
2018,4,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2031.0
2018,5,TOLIMA,ARMERO,Visitantes extranjeros no residentes,,,,,,,,1
2018,5,TOLIMA,CAJAMARCA,Visitantes extranjeros no residentes,,,,,,,,3
2018,5,TOLIMA,CHAPARRAL,Visitantes extranjeros no residentes,,,,,,,,2
2018,5,TOLIMA,CHAPARRAL,llegadas pasajeros Nacionales,,,,,,,,12
2018,5,TOLIMA,ESPINAL,Visitantes extranjeros no residentes,,,,,,,,5
2018,5,TOLIMA,ESPINAL,llegadas pasajeros Nacionales,,,,,,,,2
2018,5,TOLIMA,FLANDES,Visitantes extranjeros no residentes,,,,,,,,2
2018,5,TOLIMA,FLANDES,llegadas pasajeros Nacionales,,,,,,,,32
2018,5,TOLIMA,FRESNO,Visitantes extranjeros no residentes,,,,,,,,2
2018,5,TOLIMA,GUAMO,Visitantes extranjeros no residentes,,,,,,,,2
2018,5,TOLIMA,HONDA,Visitantes extranjeros no residentes,,,,,,,,5
2018,5,TOLIMA,ICONONZO,Visitantes extranjeros no residentes,,,,,,,,3
2018,5,TOLIMA,MARIQUITA,llegadas pasajeros Nacionales,,,,,,,,20
2018,5,TOLIMA,MELGAR,Visitantes extranjeros no residentes,,,,,,,,26
2018,5,TOLIMA,MURILLO,Visitantes extranjeros no residentes,,,,,,,,1
2018,5,TOLIMA,PIEDRAS,Visitantes extranjeros no residentes,,,,,,,,2
2018,5,TOLIMA,PLANADAS,Visitantes extranjeros no residentes,,,,,,,,2
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Alemania,13.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Antillas Neerlandesas,1.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Argentina,11.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Austria,1.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Bolivia,1.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Brasil,16.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Bélgica,5.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Canadá,9.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Chile,10.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,China,8.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Costa Rica,5.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Cuba,2.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Dinamarca,1.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Ecuador,14.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Egipto,1.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,El Salvador,1.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,España,22.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,92.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Francia,7.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Guatemala,7.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Honduras,1.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Irlanda,1.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Israel,2.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Italia,1.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,México,92.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Nicaragua,2.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Panamá,11.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Paraguay,4.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Países Bajos,10.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Perú,13.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Puerto Rico,1.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Reino Unido,3.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,República Dominicana,5.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Rusia,2.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Suecia,3.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Suiza,1.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Trinidad y Tobago,2.0
2018,5,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Uruguay,1.0
2018,5,TOLIMA,,Visitantes No Residentes total por departamento,,,,,,,,382.0
2018,5,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2503.0
2018,6,TOLIMA,AMBALEMA,Visitantes extranjeros no residentes,,,,,,,,1
2018,6,TOLIMA,ARMERO,Visitantes extranjeros no residentes,,,,,,,,2
2018,6,TOLIMA,CAJAMARCA,Visitantes extranjeros no residentes,,,,,,,,1
2018,6,TOLIMA,CHAPARRAL,Visitantes extranjeros no residentes,,,,,,,,1
2018,6,TOLIMA,CHAPARRAL,llegadas pasajeros Nacionales,,,,,,,,11
2018,6,TOLIMA,DOLORES,Visitantes extranjeros no residentes,,,,,,,,3
2018,6,TOLIMA,ESPINAL,Visitantes extranjeros no residentes,,,,,,,,29
2018,6,TOLIMA,FLANDES,Visitantes extranjeros no residentes,,,,,,,,3
2018,6,TOLIMA,FLANDES,llegadas pasajeros Nacionales,,,,,,,,59
2018,6,TOLIMA,HONDA,Visitantes extranjeros no residentes,,,,,,,,2
2018,6,TOLIMA,MARIQUITA,Visitantes extranjeros no residentes,,,,,,,,5
2018,6,TOLIMA,MARIQUITA,llegadas pasajeros Nacionales,,,,,,,,8
2018,6,TOLIMA,MELGAR,Visitantes extranjeros no residentes,,,,,,,,49
